Aluminum alloy 	(%IACS) 	(S/m) ×10^7 
1050-O	61.3	3.555
1060-O	62.0	3.596
1060-H18	61.0	3.538
1100-O	59.0	3.422
1100-H18	57.0	3.306
1145-O	61.0	3.538
1145-H18	60.0	3.48
1199-O	64.5	3.741
1350-O	61.8	3.584
2014-O	50.0	2.90
2014-T6	40.0	2.32
2017-O	50.0	2.90
2017-T4	34.0	1.972
2024-O	50.0	2.90
2024-T6	38.0	2.204
2036-O	52.0	3.016
2036-T4	41.0	2.378
2124-O	50.0	2.90
2219-O	44.0	2.552
2219-T62	30.0	1.74
2319-O	44.0	2.552
3003-O	50.0	2.90
3003-H12	42.0	2.436
3003-H14	41.0	2.378
3003-H18	40.0	2.32
3004-O	42.0	2.436
3105-O	45.0	2.61
4032-O	40.0	2.32
4032-T6	36.0	2.088
4043-O	42.0	2.436
5005-O	52.0	3.016
5050-O	50.0	2.90
5052-O	35.0	2.03
5056-O	29.0	1.682
5056-H38	27.0	1.566
5083	29.0	1.682
5086	31.0	1.798
5154	32.0	18.56
5182	31.0	1.798
5252	35.0	2.03
5254	32.0	1.856
5356-O	29.0	1.682
5454	34.0	1.972
5456	29.0	1.682
5457	46.0	2.668
5652	35.0	2.03
5657	54.0	3.132
6005-T5	49.0	2.842
6009-O	54.0	3.132
6009-T4	44.0	2.552
6009-T6	47.0	2.726
6010-O	53.0	3.074
6010-T4	39.0	2.262
6010-T6	44.0	2.552
6061-O	47.0	2.726
6061-T4	40.0	2.32
6061-T6	43.0	2.494
6063-O	58.0	3.364
6063-T1	50.0	2.90
6063-T5	55.0	3.19
6063-T6	53.0	3.074
6066-O	40.0	2.32
6066-T6	37.0	2.146
6070-T6	44.0	2.552
6101-T6	57.0	3.306
6151-O	54.0	3.132
6151-T4	42.0	2.436
6205-T1	45.0	2.61
6205-T5	49.0	2.842
6351-T6	46.0	2.668
6463-T1	50.0	2.9
6463-T5	55.0	3.19
6463-T6	53.0	3.074
7005-O	43.0	2.494
7005-T6	35.0	2.03
7050-O	47.0	2.726
7072-O	60.0	3.48
7075-T6	33.0	1.914
7178-O	46.0	2.668
7178-T6	32.0	1.856
