Aluminum alloy 	Density
1050	2700
1060	2700
1070	2700
1100	2710
1145	2700
1199	2710
1200	2700
1235	2700
1350	2700
2007	2820
2010	2720
2011	2820
2014	2800
2017	2790
2018	2820
2024	2780
2025	2810
2117	2750
2124	2780
2195	2710
2219	2840
2618	2750
3003	2730
3004	2720
3005	2730
3030	2720
3103	2730
3104	2720
3105	2720
4032	2680
4043	2690
4047	2650
5005	2700
5010	2710
5049	2700
5050	2690
5051	2690
5052	2680
5056	2640
5059	2660
5082	2650
5083	2660
5086	2650
5154	2660
5182	2650
5251	2690
5252	2670
5356	2640
5454	2690
5456	2660
5457	2700
5657	2690
5754	2670
6005	2700
6010	2710
6012	2740
6013	2710
6016	2700
6020	2710
6023	2730
6026	2720
6060	2700
6061	2700
6063	2700
6064	2720
6065	2720
6066	2700
6081	2700
6082	2700
6101	2700
6105	2690
6106	2700
6111	2710
6201	2700
6262	2720
6351	2700
6360	2700
6463	2690
7003	2800
7005	2780
7010	2820
7020	2780
7021	2780
7022	2770
7039	2740
7049	2840
7050	2830
7055	2860
7068	2850
7072	2700
7075	2810
7076	2840
7079	2740
7150	2840
7175	2800
7178	2830
7475	2810
8006	2740
8011	2710
8079	2720
8090	2540
8111	2710
