Aluminum alloy	Yield strength 	Ultimate strength 
1050-H14	100	110
1050-H16	125	130
1050-H18	145	160
1050-O	30	70
1060-H12	76	83
1060-H14	90	97
1060-H16	105	110
1060-H18	125	130
1060-O	28	69
1100-H12	105	110
1100-H14	115	125
1100-H16	135	145
1100-H18	150	165
1100-O	34	90
1350-H12	83	97
1350-H14	97	110
1350-H16	110	125
1350-H19	165	185
1350-O	28	83
2011-T3	295	380
2011-T8	310	405
2014-O	95	185
2014-T4	290	425
2014-T6	415	485
2017-O	70	180
2017-T4	275	420
2024-O	76	185
2024-T3	345	485
2024-T4	325	470
2024-T6	415	495
2036-T4	195	340
2048	415	455
2219-O	75	170
2219-T42	185	360
2219-T62	290	415
2618	370	440
3003-H12	125	130
3003-H14	145	150
3003-H16	170	180
3003-H18	185	200
3003-O	40	110
3004-H32	170	215
3004-H34	200	240
3004-H36	230	260
3004-H38	250	285
3004-O	70	180
3105-H12	130	150
3105-H14	150	170
3105-H16	170	195
3105-H18	195	215
3105-O	55	115
4032-T6	315	380
4043-H18	270	285
4043-O	70	145
5005-H12	130	140
5005-H14	150	160
5005-H16	170	180
5005-H18	195	200
5005-O	41	125
5050-H32	145	170
5050-H34	165	195
5050-H36	180	205
5050-H38	200	220
5050-O	55	145
5052-H32	195	230
5052-H34	215	260
5052-H36	240	275
5052-H38	255	290
5052-O	90	195
5056-H18	405	435
5056-H38	345	415
5056-O	150	290
5083-O	145	290
5086-O	115	260
5154-H32	205	270
5154-H34	230	290
5154-H36	250	310
5154-H38	270	330
5154-O	115	240
5182-H32	235	315
5182-O	130	275
5254-H32	205	270
5254-H34	230	290
5254-H36	250	310
5254-H38	270	330
5254-O	115	240
5454-H32	205	275
5454-H34	240	305
5454-O	115	250
5456-O	160	310
6005-T1	105	170
6005-T5	240	260
6010-T4	170	290
6061-O	55	125
6061-T4	145	240
6061-T6	275	310
6063-O	48	90
6063-T1	90	150
6063-T4	90	170
6063-T5	145	185
6063-T6	215	240
6066-O	83	150
6066-T4	205	360
6066-T6	360	395
6070-O	70	145
6070-T4	170	315
6070-T6	350	380
6205-T1	140	260
6205-T5	290	310
6351-T4	150	250
6351-T6	285	310
7005-O	80	195
7075-O	105	230
7075-T6	500	570
