Name 	Class 	Density 
Aluminum diboride (AlB2)	Borides	3190
Aluminum dodecaboride (AlB12)	Borides	2550
Barium hexaboride (BaB6)	Borides	4350
Beryllium diboride (BeB2)	Borides	2420
Beryllium hexaboride (BeB6)	Borides	2330
Calcium hexaboride (CaB6)	Borides	2460
Cerium hexaboride (CeB6)	Borides	4870
Chromium boride (Cr5B3)	Borides	6100
Chromium diboride (CrB2)	Borides	5220
Chromium monoboride (CrB)	Borides	6200
Cobalt boride (CoB)	Borides	7250
Hafnium diboride (HfB2)	Borides	10500
Hafnium boride (HfB)	Borides	12800
Iron diboride (FeB2)	Borides	7300
Iron boride (FeB)	Borides	7000
Lanthanum hexaboride (LaB6)	Borides	4760
Molybdenum boride (Mo2B)	Borides	9200
Niobium diboride (NbB2)	Borides	6970
Niobium boride (NbB)	Borides	7570
Silicon hexaboride (SiB6)	Borides	2430
Silicon tetraboride (SiB4)	Borides	2400
Tantalum diboride (TaB2)	Borides	11200
Tantalum boride (TaB)	Borides	14190
Thorium hexaboride (ThB6)	Borides	6800
Thorium tetraboride (ThB4)	Borides	8450
Titanium boride (TiB)	Borides	5260
Titanium diboride (TiB2)	Borides	4520
Tungsten hemiboride (W2B)	Borides	16000
Uranium diboride (UB2)	Borides	12700
Uranium dodecaboride (UB12)	Borides	5825
Vanadium diboride (VB2)	Borides	5070
Zirconium diboride (ZrB2)	Borides	6085
Zirconium dodecaboride (ZrB12)	Borides	3630
Aluminum carbide (Al4C3)	Carbides	2360
Beryllium hemicarbide (Be2C)	Carbides	1900
Boron carbide (B4C)	Carbides	2510
Chromium carbide (Cr3C2)	Carbides	6680
Diamond (C)	Carbides	3515
Graphite (C)	Carbides	2250
Hafnium carbide (HfC)	Carbides	12200
Molybdenum carbide (MoC)	Carbides	9150
Niobium hemicarbide (Nb2C)	Carbides	7800
Niobium carbide (NbC)	Carbides	7820
Silicon carbide (SiC)	Carbides	3160
Tantalum carbide (TaC)	Carbides	14300
Thorium carbide (ThC)	Carbides	10600
Titanium carbide (TiC)	Carbides	4930
Tungsten carbide (WC)	Carbides	15600
Tungsten hemicarbide (W2C)	Carbides	14800
Uranium carbide (UC)	Carbides	13630
Uranium dicarbide (UC2)	Carbides	11300
Vanadium carbide (VC)	Carbides	5770
Zirconium carbide (ZrC)	Carbides	6730
Aluminum nitride (AlN)	Nitrides	3255
Beryllium nitride (Be3N2)	Nitrides	2710
Boron nitride (BN)	Nitrides	2180
Chromium nitride (CrN)	Nitrides	5900
Hafnium nitride (HfN)	Nitrides	13800
Molybdenum nitride (MoN)	Nitrides	9200
Niobium nitride (NbN)	Nitrides	8470
Silicon nitride (Si3N4)	Nitrides	3170
Tantalum nitride (TaN)	Nitrides	13700
Thorium nitride (ThN)	Nitrides	11600
Titanium nitride (TiN)	Nitrides	5430
Tungsten nitride (WN2)	Nitrides	7700
Uranium nitride (U2N3)	Nitrides	11300
Vanadium nitride (VN)	Nitrides	6130
Zirconium nitride (ZrN)	Nitrides	7090
Chromium disilicide (CrSi2)	Silicides	4910
Chromium silicide (Cr3Si)	Silicides	6400
Molybdenum disilicide (MoSi2)	Silicides	6200
Tantalum disilicide (TaSi2)	Silicides	9140
Tantalum silicide (Ta5Si3)	Silicides	13060
Thorium disilicide (ThSi2)	Silicides	7900
Titanium disilicide (TiSi2)	Silicides	4000
Tungsten disilicide (WSi2)	Silicides	9300
Tungsten silicide (W5Si3)	Silicides	14400
Vanadium disilicide (VSi2)	Silicides	4420
Vanadium silicide (V3Si)	Silicides	5700
Zirconium disilicide (ZrSi2)	Silicides	4880
Aluminum sesquioxide (Al2O3)	Oxides	3990
Beryllium oxide (BeO)	Oxides	3020
Calcium oxide (CaO)	Oxides	3340
Cerium dioxide (CeO2)	Oxides	7220
Chromium oxide (Cr2O3)	Oxides	5220
Dysprosium oxide (Dy2O3)	Oxides	7810
Europium oxide (Eu2O3)	Oxides	7420
Gadolinium oxide (Gd2O3)	Oxides	7410
Hafnium dioxide (HfO2)	Oxides	9680
Lanthanum oxide (La2O3)	Oxides	6510
Magnesium oxide (MgO)	Oxides	3580
Niobium pentoxide (Nb2O5)	Oxides	4470
Samarium oxide (Sm2O3)	Oxides	7600
Silicon dioxide (SiO2)	Oxides	2650
Tantalum pentoxide (Ta2O5)	Oxides	8200
Thorium dioxide (ThO2)	Oxides	10000
Titanium dioxide (TiO2)	Oxides	4230
Titanium monoxide (TiO)	Oxides	4950
Titanium sesquioxide (Ti2O3)	Oxides	4486
Trititanium pentoxide (Ti3O5)	Oxides	4240
Uranium dioxide (UO2)	Oxides	10970
Yttrium oxide (Y2O3)	Oxides	5030
Zirconium dioxide (ZrO2)	Oxides	5680
