Trade name 	UNS number	(%IACS) 	(S/m) ×106 
AM100A	M10100	6.7	11.6
AM50A	M10500	7.7	13.3
AM60A	M10600	8.3	14.3
AM60B	M10602	8.3	14.3
AZ31B	M11311	10.9	18.8
AZ61A	M11610	8	13.8
AZ63A	M11630	8.7	15.0
AZ80A	M11800	6.9	11.9
AZ81A	M11810	7	12.1
AZ91A	M11910	5.9	10.2
AZ91B	M11912	7	12.1
AZ91C	M11914	6.6	11.4
AZ91D	M11916	7.1	12.2
AZ91E	M11919	7.1	12.2
AZ92A	M11920	7.1	12.2
EQ21A	M18330	14.6	25.2
EZ33A	M12330	14.3	24.7
HK31A	M13310	13.9	24.0
HM21A	M13210	19.2	33.1
HM31A	M13312	15.2	26.2
HZ32A	M13320	15.4	26.6
K1A	M18010	17.5	30.2
M1A	M15100	20	34.5
QE22A	M18220	14.6	25.2
WE43A	M18430	6.8	11.7
WE43B	M18432	6.8	11.7
WE54A	M18410	5.8	10.0
ZC63A		18.5	31.9
ZE41A	M16410	16.7	28.8
ZE63A	M16630	17.9	30.9
ZH62A	M16620	15.4	26.6
ZK40A	M16400	16.7	28.8
ZK51A	M16510	16.7	28.8
ZK60A	M16600	16.1	27.8
ZK61A	M16610	16.7	28.8
