Trade name 	UNS number	Density
AM100A	M10100	1830
AM50A	M10500	1770
AM60A	M10600	1800
AM60B	M10602	1800
AS41A	M10410	1776
AS41B	M10412	1776
AS41XB	M10412	1770
AZ10A	M11100	1760
AZ31B	M11311	1780
AZ31C	M11312	1770
AZ60A	M11610	1830
AZ61A	M11610	1800
AZ63A	M11630	1830
AZ80A	M11800	1800
AZ81A	M11810	1800
AZ91A	M11910	1810
AZ91B	M11912	1810
AZ91C	M11914	1810
AZ91D	M11916	1810
AZ91E	M11919	1810
AZ92A	M11920	1830
EQ21A	M18330	1810
EV31A	M12310	1800
EZ33A	M12330	1800
HK31A	M13310	1800
HM21A	M13210	1780
HM31A	M13312	1800
HZ32A	M13320	1830
K1A	M18010	1740
M1A	M15100	1770
QE22A	M18220	1820
QH21A	M18211	1830
WE43A	M18430	1840
WE43B	M18432	1840
WE54A	M18410	1840
ZC63	M16631	1870
ZC71	M16710	1830
ZE41A	M16410	1840
ZE63A	M16630	1870
ZH62A	M16620	1860
ZK21A	M16210	1800
ZK40A	M16400	1820
ZK51A	M16510	1830
ZK60A	M16600	1830
ZK61A	M16610	1830
