Trade name 	UNS number	Yield strength 	Ultimate strength 
AM100A	M10100	83	150
AM60A	M10600	130	220
AM60B	M10603	130	220
AS41A	M10410	140	210
AS41XB		140	210
AZ10A	M11100	145 - 150	240
AZ31B	M11312	150 - 220	241 - 290
AZ61A	M11610	165 - 220	285 - 305
AZ63	M11630	97	200
AZ80A	M11800	230 - 275	330 - 380
AZ81A	M11810	83	275
AZ91A	M11910	97 - 150	165 - 230
AZ91C	M11914	90 - 145	275
AZ92A	M11920	150	275
EQ21	M16330	170	235
EZ33A	M12330	110	160
HK31A	M13310	105	220
HK31A	M13310	205	260
HM21A	M13210	170	235
HM31A	M13312	230	283
HZ32A	M13320	90	185
K1A	M18010	55	180
M1A	M15100	125 - 180	230 - 255
QE22A	M18220	195	260
QH21A		200 - 207	275 - 285
WE43	M18430	162	250
WE54	M18410	172	250
ZC63	M16631	125	210
ZC71	M16710	340 - 345	360 - 375
ZE41A	M16410	140	205
ZE63A	M16630	190	300
ZH62A	M16620	150	240
ZK21A	M16210	180 - 195	235 - 260
ZK40A	M16400	250 - 255	275
ZK51A	M16510	140	205
ZK60A	M16600	215 - 285	305 - 350
ZK61A	M16610	195	210
