Trade name 	UNS number	(%IACS) 	(S/m) ×106 
Alloy 36	K93600	1.25	2.2
Alloy 42	N94100	1.64	2.8
Alloy 46	K94600	2.13	3.7
Alloy 52	N14052	2.33	4.0
Alloy 200	N02200	10.42	18.0
Alloy 201	N02201	11.76	20.3
Alloy 205	N02205	10.53	18.2
Alloy 270	N02270	13.33	23.0
HASTELLOY® B2	N10665	0.73	1.3
HASTELLOY® B3	N10675	0.73	1.3
HASTELLOY® C4	N06455	0.80	1.4
HASTELLOY® C22	N06022	0.88	1.5
HASTELLOY® C276	N10276	0.77	1.3
HASTELLOY® C2000	N06200	0.78	1.3
HASTELLOY® G3	N06985	0.93	1.6
HASTELLOY® G30	N06030	0.86	1.5
HASTELLOY® HX	N06920	8.62	14.9
HASTELLOY® N	N10003	0.83	1.4
HASTELLOY® S	N06635	0.78	1.3
HASTELLOY® X	N06002	8.47	14.6
HAYNES® 214	N07214	0.74	1.3
HAYNES® 230	N06230	0.80	1.4
HAYNES® 242	N10242	0.82	1.4
HAYNES® 263	N07263	0.87	1.5
HAYNES® 282	N07208	0.79	1.4
HAYNES® 556	R30556	1.05	1.8
HAYNES® HR-120	N08120	0.95	1.6
HAYNES® HR-160	N12160	0.90	1.6
INCOLOY® 800	N08800	1.01	1.7
INCOLOY® 800HT	N08811	1.01	1.7
INCOLOY® 825	N08825	0.88	1.5
INCOLOY® 902	N09902	0.99	1.7
INCOLOY® 903	N19903	1.64	2.8
INCOLOY® 907	N19907	1.43	2.5
INCOLOY® 909	N19909	1.37	2.4
INCOLOY® 925	N09925	0.86	1.5
INCONEL® 600	N06600	0.97	1.7
INCONEL® 601	N06601	0.85	1.5
INCONEL® 601GC	N06601	0.85	1.5
INCONEL® 603XL	N06603	0.86	1.5
INCONEL® 617	N06617	0.82	1.4
INCONEL® 625	N06625	0.78	1.3
INCONEL® 625LCF	N06626	0.78	1.3
INCONEL® 686	N06686	0.81	1.4
INCONEL® 690	N06690	0.87	1.5
INCONEL® 693	N06693	0.85	1.5
INCONEL® 718	N07718	0.80	1.4
INCONEL® 718SPF	NO7718	0.80	1.4
INCONEL® 725	N07725	0.88	1.5
INCONEL® 740	N07740	0.85	1.5
INCONEL® 751	N07751	0.82	1.4
INCONEL® MA754	N07754	0.93	1.6
INCONEL® MA758		0.88	1.5
INCONEL® X-750	N07750	0.82	1.4
Invar® 36	K93601	1.25	2.2
Invar® 42	K94100	1.64	2.8
Invar® 48	K94800	2.13	3.7
Invar® K	K94610	2.33	4.0
MONEL® 400	N04400	1.96	3.4
MONEL® 401	N04401	2.01	3.5
MONEL® 404	N04404	2.01	3.5
MONEL® K-500	N05500	1.62	2.8
MONEL® R-405	N04405	1.95	3.4
NIMONIC® 75	N06075	0.92	1.6
NIMONIC® 80A	N07080	0.81	1.4
NIMONIC® 81	N07081	0.79	1.4
NIMONIC® 90	N07090	0.85	1.5
NIMONIC® 105	N07105	0.76	1.3
NIMONIC® 115	N07115	0.72	1.2
NIMONIC® 263	N07263	0.87	1.5
NIMONIC® 901	N09901	0.89	1.5
NIMONIC® PE16		0.91	1.6
NIMONIC® PK33		0.79	1.4
NiSPAN-C® 902	N09902	1.96	3.4
René® 41	N07041	0.76	1.3
Udimet® 500	N07500	0.83	1.4
