Trade name 	UNS number	Yield strength 	Ultimate strength 
Alloy 20	N08020	300	620
Alloy 36	K93600	241	490
Alloy 42	N94100	248	490
Alloy 46	K94600	247	510
Alloy 52	N14052	240	536
Alloy 188	R30188	446	963
Alloy 200	N02200	148	462
Alloy 201	N02201	103	403
Alloy 205	N02205	90	345
Alloy 270	N02270	110	345
Alloy 400	N04400	276 - 517	517 - 655
Alloy 405	N04405	240	550
Alloy C263	N07263	90	345
HASTELLOY® B2	N10665	390 - 520	910 - 960
HASTELLOY® B3	N10675	420	860
HASTELLOY® C4	N06455	416	768
HASTELLOY® C22	N06022	370	780
HASTELLOY® C276	N10276	205	601
HASTELLOY® C2000	N06200	350	750
HASTELLOY® G3	N06985	320 - 380	690 - 720
HASTELLOY® G30	N06030	310	689
HASTELLOY® HX	N06920	358	793
HASTELLOY® N	N10003	310	790
HASTELLOY® S	N06635	445	835
HASTELLOY® X	N06002	340 - 390	755 - 1110
HAYNES® 214	N07214	605	995
HAYNES® 230	N06230	390	860
HAYNES® 242	N10242	845	1290
HAYNES® 263	N07263	635	1050
HAYNES® 282	N07208	384	839
HAYNES® 556	R30556	410	815
HAYNES® HR-120	N08120	375	735
HAYNES® HR-160	N12160	314	767
INCOLOY® 800	N08800	295 - 345	590 - 620
INCOLOY® 800HT	N08811	241 - 310	552 - 600
INCOLOY® 825	N08825	310	655 - 690
INCOLOY® 902	N09902	760	1210
INCOLOY® 903	N19903	1100	1310
INCOLOY® 907	N19907	1100	1310
INCOLOY® 909	N19909	1035	1275
INCOLOY® 925	N09925	820	1200
INCONEL® 600	N06600	172 - 345	550 - 690
INCONEL® 601	N06601	205 - 415	550 - 790
INCONEL® 601GC	N06601	205 - 345	585 - 690
INCONEL® 603XL	N06603	410	795
INCONEL® 617	N06617	320 - 380	730 - 770
INCONEL® 625	N06625	448 - 517	862 - 930
INCONEL® 625LCF	N06626	414	827
INCONEL® 686	N06686	396	740
INCONEL® 690	N06690	348 - 461	648 - 758
INCONEL® 693	N06693	490 - 530	883 - 938
INCONEL® 718	N07718	1036 - 1180	1240 - 1350
INCONEL® 718SPF	NO7718	829	1117
INCONEL® 725	N07725	427 - 921	855 - 1268
INCONEL® 740	N07740	314	795
INCONEL® 751	N07751	516 - 976	554 - 1310
INCONEL® 783	R30783	779	1194
INCONEL® MA754	N07754	545 - 585	940 - 965
INCONEL® MA758		560	949
INCONEL® X-750	N07750	690 - 900	1137 - 1240
Invar® 36	K93601	275 - 415	450 - 585
Invar® 42	K94100	235	538
Invar® 48	K94800	260	520
Invar® K	K94610	340	520
MONEL® 400	N04400	172 - 345	517 - 620
MONEL® 401	N04401	134	441
MONEL® 404	N04404	152	469
MONEL® K-500	N05500	689 - 790	1069 - 1100
MONEL® R-405	N04405	172 - 276	482 - 586
NIMONIC® 75	N06075	240	750
NIMONIC® 80A	N07080	480 - 793	900 - 1241
NIMONIC® 81	N07081	565	1200
NIMONIC® 90	N07090	752	1175
NIMONIC® 91		663	1180
NIMONIC® 105	N07105	776	1140
NIMONIC® 115	N07115	865	1240
NIMONIC® 263	N07263	585	1000
NIMONIC® 901	N09901	900	1220
NIMONIC® PE11		700	1070
NIMONIC® PE16		450	830
NIMONIC® PK33		790	1127
NiSPAN-C® 902	N09902	241	586
René® 41	N07041	1060	1420
René® 95		1310	1620
Udimet® 500	N07500	840	1310
Udimet® 520		850	1300
Udimet® 700	N07700	965	1410
Udimet® 720		900	1150
