Trade name 	UNS number	(%IACS) 	(S/m) ×106 
Grade 1	R50250	2.38	4.1
Grade 2	R50400	1.92	3.3
Grade 3	R50550	1.85	3.2
Grade 4	R50700	1.67	2.9
Grade 5	R56400	0.59	1
Grade 6	R54520	0.63	1.1
Grade 7	R52400	1.82	3.1
Grade 9	R56320	0.79	1.4
Grade 10	R58030	0.64	1.1
Grade 11	R52250	1.82	3.1
Grade 12	R53400	1.92	3.3
Grade 16	R52402	1.79	3.1
Grade 17	R52252	1.79	3.1
Grade 18	R56322	0.81	1.4
Grade 21	R58210	0.74	1.3
Grade 23	R56401	0.56	1
Grade 32	R55111	0.65	1.1
Timetal® 1100		0.56	1
Timetal® 21S	R58210	0.74	1.3
Timetal® 551		0.59	1
Timetal® 621	R56210	0.63	1.1
Timetal® 6-2-4-2	R54620	0.53	0.9
Timetal® 6-2-4-6	R56260	0.53	0.9
Timetal® 62S		0.61	1.1
Timetal® 679		0.63	1.1
Timetal® 685		0.6	1
Timetal® 8-1-1	R54810	0.51	0.9
Timetal® 230		1.54	2.7
