Trade name 	UNS number	Yield strength 	Ultimate strength
Grade 1	R50250	220	345
Grade 2	R50400	345	485
Grade 3	R50550	377 - 520	440
Grade 4	R50700	480 - 552	550
Grade 5	R56400	828 - 1075	897 - 1205
Grade 6	R54520	793 - 897	825 - 972
Grade 7	R52400	276 - 352	345 - 483
Grade 9	R56320	480 - 610	620 - 740
Grade 10	R58030	1180	1255
Grade 11	R52250	170 - 220	240 - 345
Grade 12	R53400	345 - 462	483 - 607
Grade 13	R53413	170	275
Grade 14	R53414	275	410
Grade 15	R53415	380	483
Grade 16	R52402	276 - 352	345 - 483
Grade 17	R52252	170 - 221	241 - 345
Grade 18	R56322	483 - 607	621 - 740
Grade 19	R58153	759	793
Grade 20	R58645	1104 - 1152	1172 - 1248
Grade 21	R58210	860	930
Grade 23	R56401	790	860
Grade 24	R56405	828	895
Grade 25	R56403	828	895
Grade 26	R52404	275	345
Grade 27	R52254	170	240 - 310
Grade 28	R56323	483	620
Grade 29	R56404	759	828
Grade 36	R58450	480 - 530	546
Timetal® 17	R58650	1055 - 1193	1125
Timetal® 10-2-3	R56410	970 - 1228	1040 - 1310
Timetal® 1100		910	1030
Timetal® 15-3	R58153	890 - 1172	703 - 1241
Timetal® 21S	R58210	890	945
Timetal® 367	R56700	800	900
Timetal® 550		920 - 960	1050 - 1100
Timetal® 551		1065 - 1140	1200 - 1300
Timetal® 6-2-4-2	R54620	830 - 917	930 - 1100
Timetal® 6-2-4-6	R56260	725 - 1000	850 - 1100
Timetal® 62S		945 - 972	986 - 1000
Timetal® 6-6-2	R56620	950 - 1020	1035 - 1150
Timetal® 679		970	1100
Timetal® 685		850 - 900	990 - 1030
Timetal® 8-1-1	R54810	931	1020
Timetal® 8-2-9		820	950 - 980
Timetal® 834		910 - 930	1030 - 1050
Timetal® 230		510 - 520	620 - 760
